ConD,Cook Political Report,Inside Elections,Sabato's Crystal Ball,cook_code,inside_code,crystal_code,avg_ratings_2020,year
AK-01,Lean Republican,Likely Republican,Lean Republican,-2,-3,-2,-2.333333333,2020
AL-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AL-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
AR-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AR-02,Toss-up,Toss-up,Lean Republican,0,0,-2,-0.666666667,2020
AR-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AR-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AZ-01,Lean Democratic,Likely Democratic,Likely Democratic,2,3,3,2.666666667,2020
AZ-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
AZ-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
AZ-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AZ-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AZ-06,Toss-up,Toss-up,Lean Democratic,0,0,2,0.666666667,2020
AZ-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
AZ-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
AZ-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-01,Solid Republican,Solid Republican,Likely Republican,-4,-4,-3,-3.666666667,2020
CA-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-04,Likely Republican,Solid Republican,Likely Republican,-3,-4,-3,-3.333333333,2020
CA-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
CA-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-10,Likely Democratic,Solid Democratic,Safe Democratic,3,4,4,3.666666667,2020
CA-11,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-12,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-13,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-14,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-15,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-16,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-17,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-18,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-19,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-20,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-21,Toss-up,Toss-up,Lean Democratic,0,0,2,0.666666667,2020
CA-22,Likely Republican,Solid Republican,Safe Republican,-3,-4,-4,-3.666666667,2020
CA-23,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
CA-24,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-25,Toss-up,Toss-up,Lean Republican,0,0,-2,-0.666666667,2020
CA-26,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-27,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-28,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-29,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-30,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-31,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-32,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-33,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-34,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-35,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-36,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-37,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-38,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-39,Likely Democratic,Likely Democratic,Lean Democratic,3,3,2,2.666666667,2020
CA-40,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-41,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-42,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
CA-43,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-44,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-45,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-46,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-47,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-48,Lean Democratic,Lean Democratic,Lean Democratic,2,2,2,2,2020
CA-49,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-50,Lean Republican,Likely Republican,Likely Republican,-2,-3,-3,-2.666666667,2020
CA-51,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-52,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CA-53,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CO-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CO-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CO-03,Lean Republican,Tilt Republican,Lean Republican,-2,-1,-2,-1.666666667,2020
CO-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
CO-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
CO-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CO-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CT-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CT-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CT-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CT-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
CT-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
DE-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-10,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-11,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-12,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-13,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-14,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-15,Lean Republican,Lean Republican,Lean Republican,-2,-2,-2,-2,2020
FL-16,Likely Republican,Likely Republican,Likely Republican,-3,-3,-3,-3,2020
FL-17,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-18,Likely Republican,Likely Republican,Likely Republican,-3,-3,-3,-3,2020
FL-19,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-20,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-21,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-22,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-23,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-24,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
FL-25,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
FL-26,Lean Democratic,Tilt Democratic,Lean Democratic,2,1,2,1.666666667,2020
FL-27,Likely Democratic,Solid Democratic,Likely Democratic,3,4,3,3.333333333,2020
GA-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
GA-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
GA-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
GA-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
GA-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
GA-06,Likely Democratic,Likely Democratic,Likely Democratic,3,3,3,3,2020
GA-07,Lean Democratic,Tilt Democratic,Lean Democratic,2,1,2,1.666666667,2020
GA-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
GA-09,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
GA-10,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
GA-11,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
GA-12,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
GA-13,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
GA-14,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
HI-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
HI-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IA-01,Toss-up,Lean Democratic,Lean Democratic,0,2,2,1.333333333,2020
IA-02,Toss-up,Lean Democratic,Lean Democratic,0,2,2,1.333333333,2020
IA-03,Lean Democratic,Lean Democratic,Lean Democratic,2,2,2,2,2020
IA-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
ID-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
ID-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IL-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-08,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-10,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-11,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IL-12,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IL-13,Toss-up,Toss-up,Lean Republican,0,0,-2,-0.666666667,2020
IL-14,Likely Democratic,Solid Democratic,Likely Democratic,3,4,3,3.333333333,2020
IL-15,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IL-16,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IL-17,Lean Democratic,Solid Democratic,Likely Democratic,2,4,3,3,2020
IL-18,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IN-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IN-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IN-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IN-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IN-05,Toss-up,Tilt Democratic,Lean Democratic,0,1,2,1,2020
IN-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IN-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
IN-08,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
IN-09,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
KS-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
KS-02,Likely Republican,Solid Republican,Likely Republican,-3,-4,-3,-3.333333333,2020
KS-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
KS-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
KY-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
KY-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
KY-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
KY-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
KY-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
KY-06,Likely Republican,Solid Republican,Likely Republican,-3,-4,-3,-3.333333333,2020
LA-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
LA-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
LA-03,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
LA-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
LA-05,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
LA-06,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
MA-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MA-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MA-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MA-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MA-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MA-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MA-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MA-08,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MA-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MD-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
MD-02,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MD-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MD-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MD-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MD-06,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MD-07,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MD-08,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
ME-01,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
ME-02,Likely Democratic,Solid Democratic,Likely Democratic,3,4,3,3.333333333,2020
MI-01,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
MI-02,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
MI-03,Toss-up,Toss-up,Lean Republican,0,0,-2,-0.666666667,2020
MI-04,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
MI-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MI-06,Lean Republican,Likely Republican,Lean Republican,-2,-3,-2,-2.333333333,2020
MI-07,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
MI-08,Lean Democratic,Solid Democratic,Likely Democratic,2,4,3,3,2020
MI-09,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MI-10,Solid Republican,Solid Republican,Safe Republican,-4,-4,-4,-4,2020
MI-11,Lean Democratic,Solid Democratic,Likely Democratic,2,4,3,3,2020
MI-12,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MI-13,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MI-14,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MN-01,Toss-up,Tilt Democratic,Lean Democratic,0,1,2,1,2020
MN-02,Likely Democratic,Solid Democratic,Likely Democratic,3,4,3,3.333333333,2020
MN-03,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MN-04,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
MN-05,Solid Democratic,Solid Democratic,Safe Democratic,4,4,4,4,2020
